SDP_Id,MSISDN_START,MSISDN_END
meylvvmsdp06a,44061600,44061699
meylvvmsdp06a,44061700,44061799
meylvvmsdp06a,44061800,44061899
meylvvmsdp06a,44061900,44061999
meylvvmsdp06a,44062000,44062099
meylvvmsdp06a,44062100,44062199
meylvvmsdp06a,44062200,44062299
meylvvmsdp06a,44062300,44062399
meylvvmsdp06a,44062400,44062499
meylvvmsdp06a,44062500,44062599
meylvvmsdp06a,44062600,44062699
meylvvmsdp06a,44062700,44062799
meylvvmsdp06a,44062800,44062899
meylvvmsdp06a,44062900,44062999
meylvvmsdp06a,44063000,44063099
meylvvmsdp06a,44063100,44063199
meylvvmsdp06a,44063200,44063299
meylvvmsdp06a,44063300,44063399
meylvvmsdp06a,44063400,44063499
meylvvmsdp06a,44063500,44063599
meylvvmsdp06a,44063600,44063699
meylvvmsdp06a,44063700,44063799
meylvvmsdp06a,44063800,44063899
meylvvmsdp06a,44063900,44063999
meylvvmsdp06a,44064000,44064099
meylvvmsdp06a,44064100,44064199
meylvvmsdp06a,44064200,44064299
meylvvmsdp06a,44064300,44064399
meylvvmsdp06a,44064400,44064499
meylvvmsdp06a,44064500,44064599
meylvvmsdp06a,44064600,44064699
meylvvmsdp06a,44064700,44064799
meylvvmsdp06a,44064800,44064899
meylvvmsdp06a,44064900,44064999
meylvvmsdp06a,44065000,44065099
meylvvmsdp06a,44065100,44065199
meylvvmsdp06a,44065200,44065299
meylvvmsdp06a,44065300,44065399
meylvvmsdp06a,44065400,44065499
meylvvmsdp06a,44065500,44065599
meylvvmsdp06a,44065600,44065699
meylvvmsdp06a,44065700,44065799
meylvvmsdp06a,44065800,44065899
meylvvmsdp06a,44065900,44065999
meylvvmsdp06a,44066000,44066099
meylvvmsdp06a,44066100,44066199
meylvvmsdp06a,44066200,44066299
meylvvmsdp06a,44066300,44066399
meylvvmsdp06a,44066400,44066499
meylvvmsdp06a,44066500,44066599
meylvvmsdp06a,44066600,44066699
meylvvmsdp06a,44066700,44066799
meylvvmsdp06a,44066800,44066899
meylvvmsdp06a,44066900,44066999
meylvvmsdp06a,44067000,44067099
meylvvmsdp06a,44067100,44067199
meylvvmsdp06a,44067200,44067299
meylvvmsdp06a,44067300,44067399
meylvvmsdp06a,44067400,44067499
meylvvmsdp06a,44067500,44067599
meylvvmsdp06a,44067600,44067699
meylvvmsdp06a,44067700,44067799
meylvvmsdp06a,44067800,44067899
meylvvmsdp06a,44067900,44067999
meylvvmsdp06a,44068000,44068099
meylvvmsdp06a,44068100,44068199
meylvvmsdp06a,44068200,44068299
meylvvmsdp06a,44068300,44068399
meylvvmsdp06a,44068400,44068499
meylvvmsdp06a,44068500,44068599
meylvvmsdp06a,44068600,44068699
meylvvmsdp06a,44068700,44068799
meylvvmsdp06a,44068800,44068899
meylvvmsdp06a,44068900,44068999
meylvvmsdp06a,44069000,44069099
meylvvmsdp06a,44069100,44069199
meylvvmsdp06a,44069200,44069299
meylvvmsdp06a,44069300,44069399
meylvvmsdp06a,44069400,44069499
meylvvmsdp06a,44069500,44069599
meylvvmsdp06a,44069600,44069699
meylvvmsdp06a,44069700,44069799
meylvvmsdp06a,44069800,44069899
meylvvmsdp06a,44069900,44069999
meylvvmsdp06a,44070000,44070099
meylvvmsdp06a,44070100,44070199
meylvvmsdp06a,44070200,44070299
meylvvmsdp06a,44070300,44070399
meylvvmsdp06a,44070400,44070499
meylvvmsdp06a,44070500,44070599
meylvvmsdp06a,44070600,44070699
meylvvmsdp06a,44070700,44070799
meylvvmsdp06a,44070800,44070899
meylvvmsdp06a,44070900,44070999
meylvvmsdp06a,44071000,44071099
meylvvmsdp06a,44071100,44071199
meylvvmsdp06a,44071200,44071299
meylvvmsdp06a,44071300,44071399
meylvvmsdp06a,44071400,44071499
meylvvmsdp06a,44071500,44071599
meylvvmsdp06a,44071600,44071699
meylvvmsdp06a,44071700,44071799
meylvvmsdp06a,44071800,44071899
meylvvmsdp06a,44071900,44071999
meylvvmsdp06a,44072000,44072099
meylvvmsdp06a,44072100,44072199
meylvvmsdp06a,44072200,44072299
meylvvmsdp06a,44072300,44072399
meylvvmsdp06a,44072400,44072499
